                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3457,                 3.5305,                 4.0107,                0.00228,                0.60959,                0.00328,                0.00137,                 2.9034,                 4.1746,                 3.8123,               0.070213,              0.0033097,              0.0033097
                      1,                 3.2301,                 3.2619,                 3.6093,                0.04815,                0.05479,                0.01944,                0.00521,                 2.6144,                 4.4728,                 3.4166,               0.039994,              0.0064238,              0.0064238
                      2,                 2.9284,                 3.0964,                 3.2628,                0.13159,                0.10274,                 0.0569,                0.01756,                 2.6648,                 4.4897,                 3.4437,              0.0095543,              0.0093179,              0.0093179
                      3,                 2.4433,                 2.8107,                 2.8236,                0.21762,                0.40411,                0.22509,                0.10346,                 2.0662,                  2.963,                 2.7228,                0.00901,                0.00901,                0.00901
                      4,                 2.0182,                 2.5063,                 2.4526,                 0.3787,                0.29643,                0.31878,                 0.1429,                 1.9387,                 2.7268,                  2.476,                0.00901,                0.00901,                0.00901
                      5,                 1.8028,                 2.3263,                 2.2467,                0.50794,                 0.4589,                0.46763,                0.23411,                 1.7122,                 2.0668,                 2.2127,                0.00868,                0.00868,                0.00868
                      6,                 1.7017,                  2.213,                  2.123,                 0.6613,                 0.4863,                0.53621,                0.27796,                 1.8422,                 2.1117,                 2.2589,                0.00835,                0.00835,                0.00835
                      7,                 1.6214,                 2.1447,                 2.0474,                0.53973,                0.60959,                0.55893,                0.30116,                 1.5784,                 2.0251,                 2.0696,                0.00802,                0.00802,                0.00802
                      8,                 1.5749,                 2.0772,                 1.9928,                0.61858,                 0.4863,                0.54296,                0.29489,                  1.804,                 1.9453,                 2.2295,                0.00769,                0.00769,                0.00769
                      9,                 1.5327,                 2.0436,                 1.9498,                0.64443,                0.58345,                0.62628,                0.32808,                 1.5069,                  1.767,                 1.9414,                0.00736,                0.00736,                0.00736
                     10,                 1.5043,                 2.0109,                 1.9208,                0.62686,                0.65753,                0.69152,                0.38568,                 1.4919,                 1.6887,                 1.9004,                0.00703,                0.00703,                0.00703
                     11,                 1.4902,                 1.9706,                 1.9081,                0.75229,                 0.5411,                0.63729,                0.36213,                 1.5086,                  1.867,                 1.8819,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.4443,                 1.9209,                 1.8609,                0.69401,                0.65068,                0.71976,                0.43059,                 1.4204,                 1.6438,                 1.8714,                0.00637,                0.00637,                0.00637
                     13,                 1.4427,                 1.8986,                  1.853,                0.72068,                0.63699,                 0.7076,                0.41101,                  1.529,                 1.6607,                 1.9254,                0.00604,                0.00604,                0.00604
                     14,                 1.4059,                  1.871,                 1.8137,                0.58712,                0.62335,                0.63371,                0.35385,                 1.5125,                 1.7999,                 1.9078,                0.00571,                0.00571,                0.00571
                     15,                 1.3914,                 1.8644,                 1.8106,                0.72127,                0.71918,                0.77938,                0.47376,                 1.3772,                 1.4399,                 1.7903,                0.00538,                0.00538,                0.00538
                     16,                 1.3672,                 1.8224,                 1.7827,                0.75963,                0.67808,                0.76609,                0.46057,                 1.2966,                 1.3754,                 1.6894,                0.00505,                0.00505,                0.00505
                     17,                 1.3477,                 1.8071,                 1.7686,                0.74308,                0.72603,                0.77639,                0.46491,                 1.2733,                  1.344,                 1.6803,                0.00472,                0.00472,                0.00472
                     18,                 1.3399,                 1.7631,                 1.7588,                0.85324,                0.65753,                0.78881,                0.48044,                 1.3517,                 1.4695,                 1.7216,                0.00439,                0.00439,                0.00439
                     19,                 1.3294,                 1.7547,                  1.745,                0.78664,                 0.6566,                0.75898,                0.46445,                 1.3208,                 1.5043,                 1.7089,                0.00406,                0.00406,                0.00406
                     20,                 1.3134,                 1.7275,                 1.7241,                0.73976,                0.72603,                0.78568,                0.51805,                 1.1878,                 1.3054,                 1.5938,                0.00373,                0.00373,                0.00373
                     21,                 1.2996,                 1.7003,                 1.7177,                0.74946,                0.73762,                0.80193,                 0.5385,                 1.1681,                 1.2335,                 1.5805,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2793,                  1.697,                 1.7001,                0.77421,                0.71918,                0.79811,                0.52833,                 1.1922,                 1.2431,                 1.5978,                0.00307,                0.00307,                0.00307
                     23,                 1.2736,                 1.6642,                 1.6936,                0.86947,                0.69863,                0.80946,                0.52908,                 1.2185,                 1.2471,                 1.5996,                0.00274,                0.00274,                0.00274
                     24,                 1.2664,                 1.6533,                 1.6948,                0.80777,                0.71918,                0.79498,                0.53313,                 1.1844,                  1.218,                  1.612,                0.00241,                0.00241,                0.00241
                     25,                 1.2394,                 1.6277,                 1.6758,                0.86041,                 0.6755,                0.82439,                0.52752,                 1.2302,                 1.1839,                 1.6362,                0.00208,                0.00208,                0.00208
                     26,                  1.232,                 1.5964,                 1.6616,                0.85737,                0.69178,                0.82626,                0.54455,                 1.1116,                 1.1532,                 1.5328,                0.00175,                0.00175,                0.00175
                     27,                  1.236,                 1.6051,                 1.6706,                0.83566,                0.76623,                0.84267,                0.55968,                 1.1488,                 1.1131,                 1.5745,                0.00142,                0.00142,                0.00142
                     28,                 1.2135,                  1.575,                 1.6478,                0.74828,                0.77397,                0.82099,                0.55036,                  1.185,                 1.1593,                 1.5747,                0.00109,                0.00109,                0.00109
                     29,                 1.2044,                 1.5681,                 1.6472,                0.83884,                0.74869,                0.83915,                0.56056,                 1.1231,                 1.0876,                 1.5311,                0.00076,                0.00076,                0.00076
