                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3289,                 2.3028,                 1.4266,                0.78002,                0.85616,                 0.8531,                0.49997,                 1.0799,                 1.7977,                 1.2725,               0.070213,              0.0033097,              0.0033097
                      1,                 1.1904,                 1.7153,                 1.3369,                0.77436,                0.71233,                0.76871,                0.45806,                  1.313,                 1.5917,                 1.4151,               0.039994,              0.0064238,              0.0064238
                      2,                 1.2472,                 1.6874,                 1.3796,                0.68052,                0.70032,                0.72036,                0.39969,                 1.1448,                 1.6168,                 1.4293,              0.0095543,              0.0093179,              0.0093179
                      3,                 1.2797,                  1.692,                  1.406,                0.75418,                0.56164,                0.63412,                 0.3553,                 1.4574,                 1.9716,                 1.6873,                0.00901,                0.00901,                0.00901
                      4,                 1.2621,                 1.6264,                 1.3975,                0.73126,                0.77397,                 0.8168,                0.51993,                 1.2508,                 1.3277,                 1.5008,                0.00901,                0.00901,                0.00901
                      5,                 1.2375,                 1.5606,                 1.3772,                0.78616,                0.75542,                 0.8053,                0.47481,                 1.1829,                 1.3305,                 1.3641,                0.00868,                0.00868,                0.00868
                      6,                 1.2069,                 1.5077,                 1.3545,                0.86524,                0.83557,                0.91419,                0.63588,                 1.0005,                 1.0691,                 1.2455,                0.00835,                0.00835,                0.00835
                      7,                  1.182,                 1.4528,                  1.343,                0.89209,                0.79273,                0.88225,                0.59368,                 1.1658,                 1.0691,                 1.3774,                0.00802,                0.00802,                0.00802
                      8,                 1.1735,                  1.423,                 1.3228,                0.80522,                0.84247,                0.86972,                0.62482,                 1.0395,                0.96069,                 1.2636,                0.00769,                0.00769,                0.00769
                      9,                 1.1331,                 1.3745,                 1.3098,                0.83879,                0.81507,                0.90956,                0.61207,                0.95369,                 1.0615,                 1.2551,                0.00736,                0.00736,                0.00736
                     10,                 1.1272,                   1.35,                 1.3039,                 0.8533,                0.85616,                0.91946,                0.66428,                0.96271,                0.87354,                 1.2171,                0.00703,                0.00703,                0.00703
                     11,                 1.1149,                 1.3108,                 1.2943,                0.90163,                0.86301,                0.93416,                0.67101,                0.92489,                 0.8526,                 1.1984,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.0877,                 1.2788,                  1.277,                0.84705,                0.87671,                0.92832,                0.62567,                0.98021,                0.89782,                 1.2354,                0.00637,                0.00637,                0.00637
                     13,                 1.0896,                 1.2643,                 1.2738,                0.84431,                0.88356,                0.91383,                0.63927,                0.98692,                0.84481,                 1.2045,                0.00604,                0.00604,                0.00604
                     14,                 1.0688,                 1.2456,                 1.2608,                 0.8658,                0.88376,                0.92516,                0.67036,                0.94685,                0.82835,                  1.203,                0.00571,                0.00571,                0.00571
                     15,                 1.0509,                 1.2237,                 1.2547,                0.92578,                 0.8543,                0.95971,                   0.66,                0.94037,                 0.8229,                 1.1855,                0.00538,                0.00538,                0.00538
                     16,                 1.0388,                 1.1864,                 1.2433,                0.91441,                0.95133,                0.96934,                0.65968,                0.90168,                0.76528,                 1.1747,                0.00505,                0.00505,                0.00505
                     17,                 1.0152,                 1.1673,                 1.2336,                0.94215,                0.89248,                0.96358,                0.73958,                 0.7927,                0.69997,                 1.0887,                0.00472,                0.00472,                0.00472
                     18,                 1.0003,                  1.132,                 1.2257,                0.93034,                0.91475,                0.97063,                0.70635,                0.85045,                0.65341,                 1.1577,                0.00439,                0.00439,                0.00439
                     19,                0.99254,                 1.1175,                 1.2133,                0.90219,                0.94769,                0.96988,                0.72341,                0.89878,                0.75378,                 1.1347,                0.00406,                0.00406,                0.00406
                     20,                0.97737,                 1.1001,                 1.2013,                 0.8826,                0.92689,                0.95723,                0.71079,                0.95524,                 0.7656,                 1.1314,                0.00373,                0.00373,                0.00373
                     21,                 0.9586,                 1.0607,                  1.196,                0.91367,                0.93151,                0.97417,                0.72617,                0.86589,                0.60096,                 1.1349,                 0.0034,                 0.0034,                 0.0034
                     22,                 0.9395,                 1.0555,                 1.1883,                0.87325,                0.94521,                0.96301,                0.71644,                0.92249,                0.62527,                 1.1308,                0.00307,                0.00307,                0.00307
                     23,                0.93243,                 1.0222,                 1.1807,                0.94157,                0.90411,                0.96989,                0.73617,                 0.8597,                0.59232,                 1.1078,                0.00274,                0.00274,                0.00274
                     24,                0.92967,                 1.0175,                 1.1808,                0.93335,                0.91781,                0.96783,                0.76775,                0.81945,                 0.5691,                 1.0837,                0.00241,                0.00241,                0.00241
                     25,                0.89468,                 0.9828,                 1.1558,                 0.9162,                0.89862,                0.96702,                0.76017,                0.83656,                0.55444,                  1.078,                0.00208,                0.00208,                0.00208
                     26,                0.89061,                0.95066,                 1.1509,                0.93266,                 0.9487,                0.96436,                0.75475,                0.81718,                0.55363,                  1.097,                0.00175,                0.00175,                0.00175
                     27,                0.89232,                0.94457,                 1.1586,                0.93883,                0.94608,                0.98412,                0.77334,                0.82526,                0.49217,                 1.0737,                0.00142,                0.00142,                0.00142
                     28,                0.86306,                0.92195,                 1.1348,                 0.9464,                0.94521,                0.97525,                0.76583,                0.78073,                0.56037,                 1.0505,                0.00109,                0.00109,                0.00109
                     29,                0.84954,                0.90686,                 1.1316,                0.95348,                0.95205,                0.97582,                0.78439,                0.77341,                0.51354,                 1.0512,                0.00076,                0.00076,                0.00076
