                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4036,                 3.5499,                 3.9725,                 0.0024,                0.64744,                0.00512,                0.00152,                 2.9127,                 3.8668,                 3.7375,               0.070178,              0.0033136,              0.0033136
                      1,                 3.1078,                  3.149,                 3.4723,                0.05355,                0.08974,                0.02491,                0.00554,                 2.7999,                  3.463,                 3.4333,               0.040112,              0.0065811,              0.0065811
                      2,                 2.5692,                 2.8767,                 2.9303,                0.14657,                0.23718,                0.11713,                0.03984,                 2.2977,                 3.1665,                 2.9612,              0.0099799,              0.0097827,              0.0097827
                      3,                 2.0633,                 2.5128,                   2.48,                0.41809,                0.32051,                0.37186,                0.16716,                 1.8764,                  3.642,                 2.4894,               0.009703,               0.009703,               0.009703
                      4,                 1.8179,                 2.3065,                 2.2241,                0.51628,                0.33333,                0.35158,                0.16169,                 1.7602,                 2.4631,                 2.3132,               0.009703,               0.009703,               0.009703
                      5,                 1.6683,                 2.1719,                  2.097,                0.41846,                0.58333,                0.45353,                0.23334,                 1.5102,                 2.1888,                 2.0555,               0.009604,               0.009604,               0.009604
                      6,                 1.6025,                  2.093,                 2.0175,                0.68303,                0.51923,                0.60462,                0.31816,                 1.4954,                 1.7419,                 1.9943,               0.009505,               0.009505,               0.009505
                      7,                 1.5428,                 2.0234,                 1.9498,                0.69662,                0.61538,                0.70867,                0.35591,                 1.5609,                 1.7418,                 1.9992,               0.009406,               0.009406,               0.009406
                      8,                 1.4967,                 1.9614,                 1.8943,                0.76951,                0.62821,                0.73739,                0.40874,                 1.4652,                 1.6097,                 1.8976,               0.009307,               0.009307,               0.009307
                      9,                  1.482,                 1.9199,                 1.8744,                 0.7458,                0.67708,                0.72294,                0.40529,                 1.4613,                 1.5856,                 1.9094,               0.009208,               0.009208,               0.009208
                     10,                 1.4573,                 1.8892,                 1.8466,                0.77057,                0.64588,                0.75198,                0.46608,                 1.3164,                 1.6334,                 1.7353,               0.009109,               0.009109,               0.009109
                     11,                 1.4154,                 1.8644,                  1.813,                0.76133,                0.62821,                0.73566,                0.42341,                 1.4023,                 1.4215,                 1.8441,                0.00901,                0.00901,                0.00901
                     12,                   1.38,                 1.7928,                 1.7827,                0.79873,                0.53424,                 0.7121,                0.42383,                  1.343,                 1.4703,                 1.8157,               0.008911,               0.008911,               0.008911
                     13,                 1.3726,                 1.7925,                 1.7667,                0.75599,                0.69231,                0.73478,                0.45755,                 1.3367,                 1.4756,                  1.773,               0.008812,               0.008812,               0.008812
                     14,                 1.3433,                 1.7505,                 1.7462,                0.86625,                0.66026,                0.80745,                0.52939,                 1.1905,                  1.325,                 1.6695,               0.008713,               0.008713,               0.008713
                     15,                 1.3333,                 1.7212,                 1.7387,                0.80287,                0.73718,                0.80806,                0.54204,                 1.1995,                 1.1825,                 1.6536,               0.008614,               0.008614,               0.008614
